1,1,10
2,2,10
3,3,10
4,4,10
5,5,10
6,6,10
7,7,10
8,8,10
9,9,10
10,10,10
11,11,10
12,12,10
13,13,10
14,14,10
15,15,10
16,16,10
17,17,10
18,18,10
19,19,10
20,20,10
21,21,10
22,22,10
23,23,10
24,24,10
25,25,10
26,26,10
27,27,10
28,28,10
29,29,10
30,30,10
31,31,10
32,32,10
33,33,10
34,34,10
35,35,10
36,36,10
37,37,10
38,38,10
39,39,10
40,40,10
41,41,10
42,42,10
43,43,10
44,44,10
45,45,10
46,46,10
47,47,10
48,48,10
49,49,10
50,50,10
51,51,10
52,52,10
53,53,10
54,54,10
55,55,10
56,56,10
57,57,10
58,58,10
59,59,10
60,60,10
61,61,10
62,62,10
63,63,10
64,64,10
65,65,10
66,66,10
67,67,10
68,68,10
69,69,10
70,70,10
71,71,10
72,72,10
73,73,10
74,74,10
75,75,10
76,76,10
77,77,10
78,78,10
79,79,10
80,80,10
81,81,10
82,82,10
83,83,10
84,84,10
85,85,10
86,86,10
87,87,10
88,88,10
89,89,10
90,90,10
91,91,10
92,92,10
93,93,10
94,94,10
95,95,10
96,96,10
97,97,10
98,98,10
99,99,10
100,100,10
101,1,20
102,2,20
103,3,20
104,4,20
105,5,20
106,6,20
107,7,20
108,8,20
109,9,20
110,10,20
111,11,20
112,12,20
113,13,20
114,14,20
115,15,20
116,16,20
117,17,20
118,18,20
119,19,20
120,20,20
121,21,20
122,22,20
123,23,20
124,24,20
125,25,20
126,26,20
127,27,20
128,28,20
129,29,20
130,30,20
131,31,20
132,32,20
133,33,20
134,34,20
135,35,20
136,36,20
137,37,20
138,38,20
139,39,20
140,40,20
141,41,20
142,42,20
143,43,20
144,44,20
145,45,20
146,46,20
147,47,20
148,48,20
149,49,20
150,50,20
151,51,20
152,52,20
153,53,20
154,54,20
155,55,20
156,56,20
157,57,20
158,58,20
159,59,20
160,60,20
161,61,20
162,62,20
163,63,20
164,64,20
165,65,20
166,66,20
167,67,20
168,68,20
169,69,20
170,70,20
171,71,20
172,72,20
173,73,20
174,74,20
175,75,20
176,76,20
177,77,20
178,78,20
179,79,20
180,80,20
181,81,20
182,82,20
183,83,20
184,84,20
185,85,20
186,86,20
187,87,20
188,88,20
189,89,20
190,1,30
191,2,30
192,3,30
193,4,30
194,5,30
195,6,30
196,7,30
197,8,30
198,9,30
199,10,30
200,11,30
201,12,30
202,13,30
203,14,30
204,15,30
205,16,30
206,17,30
207,18,30
208,19,30
209,20,30
210,21,30
211,22,30
212,23,30
213,24,30
214,25,30
215,26,30
216,27,30
217,28,30
